X,Y,OBJECTID,FEATURE_ID,NAME,ADDRESS,ZIP,City,INVENTORY_ID,DISTRICT,OWNERSHIP_TYPE,OWNER,REG_SPACES,ACCESSIBLE,XCOORD,YCOORD,LONGITUDE,LATITUDE,ADDRESS_NUM,ON_PREFIX,ON_STNAME,ON_STYPE,ON_SUFFIX,CROSS_PREFIX,CROSS_STNAME,CROSS_STYPE,CROSS_SUFFIX
-122.2198758,47.47896992,1,570003,Fred Meyer P&R,365 Renton Center Way SW,98057,Renton,533,S,L, ,21,0,1297558,177803,-122.2198782,47.4789679,365, ,Renter Center,Way,SW, , , , 
-122.4602572,47.45194208,2,570013,Ober Park Annex (Vashon Parks Dept)  P&R,17130 Vashon Hwy SW,98070,Vashon,737.1,S,L, ,9,0,1237917.262,169110.16,-122.4602597,47.45194041,17106, ,Vashon,Hwy,SW, , , , 
-122.3051975,47.31791995,3,570032,Federal Way Transit Center P&R,31621 23rd Ave S,98003,Federal Way,877,S,P,ST,1190,0,1275339,119460,-122.3052008,47.31791812,31621, ,23rd,Ave,S,S,317th,St, 
-122.2574901,47.30209041,4,570095,Peasley Canyon Rd/West Valley Hwy P&R,Peasley Canyon Rd/West Valley Hwy,98001,Auburn,739,S,P,S,54,0,1287064,113464.2269,-122.2574935,47.30208848,0, ,Peasley Canyon,Rd, , ,West Valley,Hwy, 
-122.2333132,47.38515717,5,570105,Kent Station Surface Lot P&R,400 1st Ave N,98032,Kent,872.1,S,P,ST,119,0,1293613.14,143649.16,-122.2333161,47.38515519,301, ,Railroad,Ave,N, , , , 
-122.2275162,47.57734767,6,570112,Mercer Island Presbyterian Church P&R,3605 84th Ave SE,98040,Mercer Island,511,E,L, ,14,0,1296319,213716,-122.2275181,47.57734568,3605, ,84th,Ave,SE, ,36th,Ave,SE
-122.2252406,47.54148904,7,570115,South Mercer Center - Mercer Island QFC P&R,8421 SE 68th St,98040,Mercer Island,516,E,L, ,21,0,1296644,200628,-122.2252427,47.54148704,8421, ,68th,St,,,,, 
-122.0359242,47.58226529,8,570133,South Sammamish P&R,3015 228th Ave SE,98074,Sammamish,761,E,P,KC,265,0,1343629.611,214711.7436,-122.0359259,47.58226289,3015,,228th,Ave,NE,,Issaquah Pine Lake,,
-122.3370738,47.47015553,9,570137,Burien TC P&R,14900 4th Ave SW,98166,Burien,732,S,P,P,588,0,1268518.47,175132.64,-122.3370762,47.4701537,14900,,4th,Ave,SW,SW,148th,St,
-122.1839296,47.50692187,10,570138,St Matthew Lutheran P&R,2516 NE 16th St,98056,Renton,640,S,L,S,128,0,1306624.64,187839.25,-122.1839318,47.50691977,2516,NE,16th,St,,,,,
-122.0618356,47.54180881,11,570071,Issaquah Transit Center P&R,1050 17th Ave NW,98027,Issaquah,818,E,P,ST,819,0,1336999.907,200057.5238,-122.0618376,47.54180644,1050,,17th,Ave,NW,NW,Maple,St,
-122.1983603,47.72931267,12,570073,Korean Covenant Church P&R,14220 Juanita Woodinville Way NE,98034,Kirkland,597,E,L,,30,0,1304497.358,269009.9031,-122.1983615,47.72931065,14220,,Juanita Woodinville ,Way,NE,NE,142nd,St,
-122.3337223,47.4530203,13,570075,Burien Church of God P&R,16640 1st Ave S,98148,Burien,598,S,L,,20,0,1269225.392,168867.3121,-122.3337248,47.45301847,16640,,1st ,Ave,S,S,168th,St,
-122.3368438,47.75611941,14,570076,Aurora Community Church of the Nazarene P&R,1900 N 175th St,98155,Shoreline,576,N,L,,116,0,1270613.141,279421.4031,-122.3368449,47.75611769,1900,N,N 175th,St,,,20th ,Pl,NE
-122.2316632,47.58856693,15,570078,Mercer Island P&R,7800 N Mercer Way,98040,Mercer Island,830,E,P,ST,447,0,1295369.948,217826.2865,-122.231665,47.58856495,7800,N,Mercer,Way,,,78th,Ave,SE
-122.2122673,47.24606269,16,570082,Sunset Park,1306 69th St SE,98092,Auburn,564,S,L,,10,,1297917,92826,-122.2122709,47.24606069,1306,,69th,St,SE,,Lakeland Hills,Way,SE
-122.2283743,47.26224556,17,570081,Family Life Center - Church of God P&R,116 Lakeland Hills Way SE,98092,Auburn,565,S,L,,27,,1294023.79,98800.148,-122.2283778,47.26224356,116,,Lakeland Hills,Way,SE,E,Valley,Hwy,
-122.1008334,47.67353058,18,570086,Bear Creek P&R,7760 178th Pl NE,98052,Redmond,712,E,P,KC,283,0,1328160.388,248254.7272,-122.1008347,47.67352838,7760, ,178th,Pl,NE, , , , 
-122.1851934,47.60285253,19,570087,Wilburton P&R,720 114th Ave SE,98005,Bellevue,729,E,P,S,186,0,1306927,222831.48,-122.1851951,47.60285046,720, ,114th,Ave,SE, , , , 
-122.1523678,47.58031064,20,570088,Eastgate P&R,14200 SE Eastgate Way,98007,Bellevue,713,E,P,S,1614,0,1314883,214469.6719,-122.1523696,47.58030849,14200,SE,Eastgate,Way, , , , , 
-122.3005766,47.31255926,21,570091,Federal Way/S 320th St P&R,32320 23rd Ave S,98003,Federal Way,733,S,P,S,877,0,1276447.75,117483.06,-122.3005798,47.31255741,32320, ,23rd,Ave,S, , , , 
-121.9372111,47.52727398,22,570092,Preston P&R,30303 SE High Point Way,98027,Issaquah,725,E,P,S,53,0,1367701.526,194289.8379,-121.937213,47.5272714,30303, ,I-90,Way, , ,Preston-Fall City,Rd, 
-122.3591281,47.29428513,23,570097,Twin Lakes P&R,21st Ave SW & SW 344th St,98023,Federal Way,742,S,P,S,600,0,1261793,111101,-122.3591314,47.29428341,0, ,21st,Ave,SW,SW,344th,St, 
-121.986446,47.74357964,24,570098,Duvall P&R,SR-203 & Woodinville/Duvall Rd,98019,Duvall,731,E,P,KC,49,0,1356721.04,273360.22,-121.9864469,47.74357733,0, ,SR 203, , , ,Woodinville Duvall,Rd, 
-122.0616625,47.54070863,25,570099,Tibbetts Lot P&R,1675 Newport Way NW,98027,Issaquah,755,E,P,KC,170,0,1337036.259,199655.5853,-122.0616644,47.54070625,1675, ,Newport,Way,NW, ,17th,Ave,NW
-122.1363072,47.63298649,26,570100,Overlake P&R,2650 152nd Ave NE,98052,Redmond,724,E,P,KC,203,0,1319171.62,233613.71,-122.1363088,47.63298434,2650, ,152nd,Ave,NE,NE,24th, , 
-122.3260629,47.7029578,27,570101,Northgate TC Extension P&R,3rd Ave NE & NE 103rd St,98125,Seattle,753.1,N,P,KC,448,10,1272888.359,259981.8323,-122.3260642,47.70295601,0,NE,103rd,St, , ,3rd,Ave,NE
-122.2338671,47.38365828,28,570104,Kent Garage at Kent Station P&R,320 Ramsay Way,98032,Kent,872,S,P,ST,877,0,1293466,143105,-122.23387,47.3836563,320,,Ramsay,Way,, , , , 
-122.3190932,47.75563608,29,570107,Bethel Lutheran Church P&R,17418 8th Ave NE,98155,Shoreline,502,N,L, ,40,0,1274975.13,279160.34,-122.3190943,47.75563432,17418, ,8th,Ave,NE, ,10th,Ave,NE
